d	23692
w	23113
u	19666
i	12251
l	7848
omər	7779
b	6804
lo	6118
yo	5326
lu	5153
du	4990
ʕal	4582
bu	4224
lə	3886
ǧan	3797
di	3054
bi	3044
ste	2915
komər	2847
li	2823
xori	2809
hawxa	2515
ḥa	2493
ġalabe	2436
mede	2288
e	2266
me	2236
brahim	2192
məlle	2102
ono	1982
mən	1950
ya	1932
naqqa	1883
m	1860
mu	1825
mə	1782
aṯi	1712
bəṯr	1684
kətwo	1655
hano	1553
abuna	1540
hat	1535
ʕammo	1521
we	1482
əmmo	1453
hul	1351
tamo	1335
qayəm	1333
išoʕ	1321
aloho	1303
a	1209
kul	1204
yawmo	1175
tre	1157
be	1152
azze	1148
bayto	1147
əmmi	1147
ḥḏoḏe	1143
məḏyaḏ	1137
wa	1137
mi	1106
yaʕni	999
taʕlo	998
hani	993
kulle	982
ne	943
hawi	942
ayko	942
ʕam	905
bə	871
man	868
an	855
harke	850
abro	848
malko	841
aydarbo	832
koṯe	830
noše	829
əno	804
kit	791
aḥna	768
tloṯo	754
fayəš	734
nošo	733
bayn	718
haṯe	713
uʕdo	711
bas	708
aʕle	693
aṯto	687
maye	687
ḥḏo	685
hiye	673
walaye	670
kowe	669
naqla	664
xəd	656
babo	650
aḥuno	642
yawme	626
ʕaziz	618
ha	614
hawo	598
əšne	596
am	590
ḥreno	588
diḏe	584
no	580
ak	573
meqəm	570
barṯo	567
qašo	566
arʕo	558
kito	555
šato	549
annaqla	549
qay	547
aġa	544
aṯən	543
ʕito	536
əšme	532
səmle	531
babi	527
ḥreto	525
məlla	525
gəd	523
zlam	522
kačke	522
ḥzele	521
ašər	518
ruḥe	515
naqqayo	515
qarʕe	511
layt	507
ma	503
lalyo	503
stene	501
han	499
səryoye	497
alo	497
aʕ	495
tarte	493
tarʕo	478
iḏe	476
sayfo	473
diḏi	470
kətyo	467
ann	462
mədle	461
hən	460
darbo	457
ayna	451
aw	444
annaqqa	443
azzən	441
rabo	439
heš	439
ḥzeli	433
qriṯo	429
aḥ	425
ṣafro	420
as	419
šex	417
naʕime	417
ḥəlle	417
kule	412
da	406
mərre	401
naʕimo	393
kəmmi	393
dukṯo	393
məllele	393
gab	392
flan	389
oṯe	388
bəṯər	386
wayye	385
kallat	385
nafəq	380
de	380
balki	378
kətwa	378
kale	378
umarno	375
kətle	374
latyo	374
hama	372
mene	371
aq	366
aʕlayye	366
də	366
šulṭono	366
hedi	362
ʕaṣriye	360
kmo	355
howe	355
huwe	355
ʕayne	354
boli	352
muklo	351
aʕme	345
zʕuro	343
haka	341
abri	341
qum	340
əšmo	338
taḥt	337
maḥatle	336
emo	334
mənayye	332
ʕamo	331
hanək	330
ʕaskar	327
mor	327
aṯyo	326
uno	318
laf	317
kuḏaʕno	315
səmme	310
hayo	310
ḥatta	307
at	307
gabe	307
adyawma	307
ṭuro	306
azzino	305
su	303
daʕər	302
ad	301
aʕli	301
hno	300
aʕla	299
qamayto	294
ḥasyo	293
mənne	292
arbʕi	291
ġer	288
iḏa	288
səsyo	287
dewo	287
latwo	286
mḥele	286
ṭaye	284
feme	284
ba	281
kətwole	281
ḥrene	280
yabo	280
ab	279
diḏux	278
aṯino	277
hənne	276
azzele	276
ḏ	275
paša	274
maṭi	273
ḥolo	273
əlla	273
ebe	273
dəṯṯe	272
abre	271
diḏan	270
xabro	270
mərle	269
aḥunone	268
koḏaʕno	268
hatu	265
ḥmoro	265
kobaʕno	265
huwwe	264
kula	264
uṯewo	263
laḥmo	262
bote	261
rabe	261
saymiwo	260
azzano	258
azzeyo	257
xd	256
hiya	254
haw	252
disa	252
gawro	251
arbʕo	249
ʕəsri	247
lazəm	247
aš	246
əmmina	246
ʕali	246
eba	246
dlo	245
afandəm	244
məqqa	243
qm	243
rabṯo	240
nuro	240
ummo	240
alfo	239
riše	239
ḥurma	239
fərdo	238
ṭro	238
ḥzalle	236
qrele	234
aʕmi	234
qəm	233
fəlge	233
gawe	230
gabayna	229
hawyo	228
gabi	228
ar	228
šawʕo	226
kətli	226
azzehən	226
mo	221
yarḥe	221
lašan	221
kibe	220
mayəṯ	220
naḥət	219
larwal	217
azza	215
ḥoṯo	214
aṭ	212
baʕ	212
na	212
layto	212
aǧ	211
more	211
kalbo	211
məlli	211
dann	210
qṭile	210
sabab	208
ʕabər	208
greʕo	208
dam	207
dahwo	207
yatu	207
mine	207
səryoyo	205
qayimi	204
kal	204
masale	203
kayiso	202
ḥaq	202
bəṯre	201
ḥamšo	201
daʕ	200
maḥbe	200
fayiši	199
ema	198
niše	198
ḥur	198
lebe	198
10	197
baṯ-	197
bale	196
ḥkume	195
faṭəryarxo	195
ṭayro	195
diḏa	194
ṭrowe	194
ḥaṣe	194
dado	194
waziro	194
-qiyomo	193
tloṯ	192
falge	192
aʕmayye	192
baṯ-qiyomo	192
mal	191
wən	190
hawən	190
ga	189
ʕaskariye	188
šuġlo	187
məllale	186
malke	185
tərkiya	185
ʕayni	185
kəlle	184
mar	184
zəd	183
abne	183
xer	183
aḥuni	182
larke	182
quṣro	181
la	181
medano	180
səsto	179
qayimo	178
elo	178
ruḥi	177
ṭowo	177
aʕmux	177
daḥ	176
bele	175
qume	175
kala	175
šəkəl	174
das	174
ʕmiro	174
səmli	173
5	173
emi	172
saġ	172
ruḥayye	171
əmmiwo	171
yarḥo	171
kefe	170
6	170
kle	170
