d	24870
u	21770
﻿w	16415
i	13208
omər	9915
l	9085
w	8267
b	7289
lo	6506
lu	6290
yo	5793
du	5706
ʕal	5049
bu	4640
lə	4457
ǧan	3797
bi	3275
di	3250
li	3198
ste	2949
komər	2885
xori	2809
ḥa	2717
hawxa	2590
ġalabe	2507
mede	2320
e	2253
me	2241
brahim	2195
məlle	2189
əmmo	2059
aṯi	2040
ya	2030
mən	2029
m	2008
mə	2001
ono	1980
mu	1976
naqqa	1882
kətwo	1734
bəṯr	1715
hat	1641
hano	1609
əmmi	1564
abuna	1542
ʕammo	1542
azze	1530
we	1518
qayəm	1514
bayto	1363
hul	1363
a	1362
tamo	1355
aloho	1343
išoʕ	1321
tre	1293
kul	1279
ḥḏoḏe	1266
yawmo	1231
be	1217
mi	1193
malko	1157
wa	1146
məḏyaḏ	1134
ayko	1078
hawi	1048
kulle	1043
hani	1024
ne	1015
ʕam	1001
taʕlo	999
yaʕni	999
kit	951
abro	941
an	941
əno	933
bə	931
man	916
harke	914
aydarbo	884
bayn	874
walaye	872
noše	869
koṯe	853
nošo	833
tloṯo	828
ḥḏo	827
aʕle	823
fayəš	815
maye	795
aṯto	786
aḥna	779
aġa	764
babo	749
uʕdo	744
ha	731
bas	728
haṯe	714
kowe	692
xəd	692
aṯən	690
aḥuno	688
naqla	684
hiye	677
ḥzele	672
yawme	668
barṯo	648
səmle	645
no	644
am	641
ak	640
paša	632
əšne	632
arʕo	624
hawo	624
diḏe	623
ḥreno	623
azzən	621
ʕaziz	619
kačke	611
lalyo	611
qay	608
layt	600
qašo	596
tarte	593
sayfo	585
meqəm	584
əšme	577
annaqla	571
šato	569
ḥreto	565
aʕ	564
ma	564
babi	560
qarʕe	558
zlam	557
tarʕo	556
kito	555
məlla	548
ʕito	541
alo	530
ann	530
ruḥe	529
gəd	523
mədle	521
ašər	518
naqqayo	515
iḏe	510
darbo	505
stene	501
han	499
səryoye	497
ayna	495
qriṯo	494
diḏi	487
šulṭono	486
kətyo	477
šex	477
aḥ	471
as	470
rabo	470
ʕaskar	468
ṣafro	468
ḥəlle	462
ḥzeli	461
hən	460
su	460
heš	458
aw	456
huwe	455
annaqqa	443
nafəq	437
məllele	436
aʕlayye	431
da	426
mərre	426
naʕime	425
naʕimo	425
kətle	424
kəmmi	423
kule	419
mene	419
kallat	417
aq	413
dukṯo	413
latyo	409
oṯe	409
aʕme	405
gab	401
abre	395
maḥatle	395
wayye	395
ʕaṣriye	395
aṯyo	394
bəṯər	394
flan	394
de	391
ʕayne	389
muklo	387
emo	383
balki	380
kətwa	380
qum	380
at	379
kale	378
hama	376
abri	375
umarno	375
zʕuro	375
taḥt	374
hedi	368
də	367
gabe	367
ṭuro	366
howe	364
ummi	362
ab	360
səmme	359
kmo	358
mənayye	357
aʕla	354
boli	353
ummo	352
ad	351
səsyo	351
əšmo	343
laf	342
mor	342
haka	341
daʕər	340
feme	337
kətwole	337
aʕli	336
quṣro	333
ʕamo	333
ḥmoro	332
ḥzalle	331
hanək	330
kuḏaʕno	323
hayo	322
kle	321
qṭile	317
uno	316
azzino	314
mḥele	313
dewo	310
ḥatta	308
adyawma	307
ba	307
maṭi	307
ġer	306
aṯino	304
arbʕi	303
hənne	303
hno	300
qamayto	300
aḥunone	299
barṯe	298
iḏa	297
latwo	297
qm	295
ḥolo	295
ebe	294
mənne	294
gawro	293
ḥasyo	293
greʕo	292
ḥrene	292
dəṯṯe	290
arbʕo	288
qrele	288
niše	287
ṭro	287
diḏan	285
hiya	285
xabro	285
ṭaye	284
yabo	283
azza	281
aš	281
azzele	280
aʕmi	279
hatu	279
diḏux	278
kula	278
yatu	277
gabi	276
laḥmo	275
əlla	272
bote	271
mərle	269
eba	268
huwwe	268
koḏaʕno	268
ʕəsri	267
dlo	266
mayəṯ	266
naḥət	266
gawe	265
kobaʕno	265
rabe	265
riše	264
abne	263
nuro	263
uṯewo	263
qayimi	261
azzano	260
saymiwo	260
alfo	259
xd	258
azzeyo	257
lazəm	255
rabṯo	255
ʕabər	255
haw	254
ʕali	254
ṭrowe	254
gabayna	253
kayiso	253
daḥ	252
disa	252
qṭəlle	248
əmmina	248
dam	247
afandəm	246
more	245
ʕmiro	245
məqqa	243
aʕmayye	242
hawyo	242
ḥoṯo	241
šawʕo	240
ḥurma	240
bəṯre	239
fərdo	239
mo	239
larwal	238
yatiwi	236
aṭ	234
aǧ	233
fəlge	233
qəm	233
kalbo	232
kibe	232
ar	231
tloṯ	231
kətli	230
baʕ	229
na	228
daʕ	227
yarḥe	227
azzehən	226
fayiši	225
lašan	225
falge	224
la	224
səsto	224
ṭaw	224
dann	223
ṭayro	223
baḥar	222
lebe	221
mar	221
ḥamšo	220
dahwo	219
mal	219
pire	219
nafəl	218
waziro	218
larke	217
mamṭele	217
hawən	215
ḥaq	215
das	214
məlli	214
layto	212
greʕe	211
briṯo	210
məllale	209
sabab	208
balad	207
mine	207
ḥur	207
diḏa	206
ḥaṣe	206
bele	205
kal	205
qayimo	205
